text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
"Thanks to this plan, there will be 90,000 fewer asthma attacks among our kids and we'll avoid 3,600 premature deaths in 2030.",5306,2802,Mon Aug 03 19:18:32 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,628283831104237569
"Despite what the critics will tell you, this plan will ultimately save the average American family nearly $85 a year on their energy bills.",6631,2614,Mon Aug 03 19:23:30 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,628285077970153472
I refuse to condemn our kids to a planet that's beyond fixing. Let's meet this challenge and #ActOnClimate together.,16348,9285,Mon Aug 03 19:29:02 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,628286472781754368
"It's the strongest nuclear deal ever negotiated. There's no such thing as a ""better deal."" Walking away risks war. https://t.co/la7GhQXfzl",3780,2050,Wed Aug 05 20:36:48 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,629028301454094336
The choice is ultimately between diplomacy and war. Iran's nuclear program accelerates if Congress kills this deal. https://t.co/nvBeO1Omko,3621,1934,Wed Aug 05 20:45:23 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,629030461449338881
Important detail – there are no secret deals. My staff can brief you on any question about any part of the deal. https://t.co/UO0B5xCOPh,5974,2861,Wed Aug 05 20:46:43 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,629030795299147776
Pretty incredible time lapse of the dark side of the moon passing Earth from @NASA. American ingenuity at work! http://t.co/JKep9bcxGQ,12042,7667,Wed Aug 05 23:01:41 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,629064761188184064
"50 years ago today, President Johnson signed the Voting Rights Act into law, securing the right to vote for millions of African Americans.",13127,7459,Thu Aug 06 17:21:27 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,629341526439653377
"Before 1965, African Americans faced poll taxes, literacy tests, or having to count jellybeans in a jar when they tried to register to vote.",7596,5286,Thu Aug 06 17:23:33 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,629342056876503040
"Heroes like @RepJohnLewis, Dr. King, and countless others sacrificed so that all of our voices could be heard. http://t.co/L7kxtWQlYW",9212,5173,Thu Aug 06 17:26:02 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,629342681962049538
Thank you for all you've done to protect our sacred right to vote. It's as important today as it's ever been. https://t.co/ge74wu5nc1,4366,1853,Thu Aug 06 17:30:29 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,629343799299411969
"RT @JohnKerry: Pleased to be in #Havana for historic day @USEmbCuba. Incredible: last time #SecState visited #Cuba, FDR was @POTUS. http://…",0,2879,Fri Aug 14 15:18:58 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,632209808930828288
